marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
beyoung,Gel de limpeza facial com ácido glicólico (controle de oleosidade),Cleanser Oil Control,gel de limpeza,90g,41.90,"hidratação, limpeza, controle da oleosidade, antiacne, antissinais, antioxidante, esfoliação, acalma, fortalece a barreira, fortalece os fios","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e, zinco, zinco pca","oleosa, seca, mista, normal, acneica, sensivel, madura, com manchas",gel-de-limpeza-facial-com-acido-glicolico-controle-de-oleosidade.jpg
beyoung,Gel de limpeza facial suave,Gentle Cleanser Limpeza Suave,gel de limpeza,200ml,54.90,"hidratação, limpeza, controle da oleosidade, antissinais, antioxidante, esfoliação, acalma","ácido cítrico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, decil glicosídeo, esqualano, fenoxietanol, lha, niacinamida, pantenol, propilenoglicol, retinol, vitamina c, vitamina e",seca,gel-de-limpeza-facial-suave.jpg
beyoung,Gel de limpeza facial suave,Gentle Cleanser Limpeza Suave,gel de limpeza,200ml,54.90,"hidratação, limpeza, controle da oleosidade, antissinais, antioxidante, esfoliação, acalma","ácido cítrico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, decil glicosídeo, esqualano, fenoxietanol, lha, niacinamida, pantenol, propilenoglicol, retinol, vitamina c, vitamina e",seca,gel-de-limpeza-facial-suave-1.jpg
beyoung,Lip tint com ácido hialurônico (duas cores),Lip Tint Duo Color,,9.4g,49.90,"hidratação, limpeza, antissinais, uniformiza o tom, esfoliação, crescimento de cílios/sobrancelhas","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, disodium edta, esqualano, ethylhexylglycerin, glycerin, lha, niacinamida, pantenol, pentylene glycol, phenoxyethanol, retinol, vitamina c, vitamina e","oleosa, seca, normal, madura, com manchas, todos os tipos",lip-tint-com-acido-hialuronico-duas-cores.jpg
beyoung,Primer facial com niacinamida e efeito lifting,Sérum c/ Niacinamida,sérum,30ml,85.90,"hidratação, limpeza, controle da oleosidade, antiacne, antissinais, uniformiza o tom, antioxidante, luminosidade, fortalece a barreira, proteção solar, fortalece os fios, compatível com maquiagem, disfarce óptico imediato","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, benzoato de sódio, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com manchas, com poros dilatados, radiante, todos os tipos",primer-facial-com-niacinamida-e-efeito-lifting.jpg
beyoung,Protetor solar transparente FPS 50,Facial Essential FPS 50,protetor solar,,89.90,"hidratação, antissinais, uniformiza o tom, antioxidante, proteção solar, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, octocrileno, pantenol, retinol, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com manchas, radiante",protetor-solar-transparente-fps-50.jpg
beyoung,Sérum Facial Antiacne e Oleosidade + Brinde Cleanser Oil Control,,sérum,,69.93,"hidratação, limpeza, controle da oleosidade, antiacne, uniformiza o tom, esfoliação, acalma, crescimento de cílios/sobrancelhas, compatível com maquiagem, resultados rápidos","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, vitamina c, vitamina e, zinco, zinco pca","oleosa, seca, mista, normal, acneica, madura, com manchas, com cicatrizes, todos os tipos",serum-facial-antiacne-e-oleosidade-brinde-cleanser-oil-control.png
beyoung,Sérum facial antimanchas com 10% ácido mandélico + 3% ácido tranexâmico,Clarify Tone,sérum,30ml,119.90,"hidratação, limpeza, controle da oleosidade, uniformiza o tom, esfoliação, acalma, luminosidade, fortalece a barreira, proteção solar, fortalece os fios, antiolheiras, compatível com maquiagem, resultados rápidos","ácido cítrico, ácido glicólico, ácido hialurônico, ácido mandélico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, fenoxietanol, goma xantana, hipoalergênico, lha, niacinamida, pantenol, propanodiol, retinol, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com manchas, radiante, todos os tipos",serum-facial-antimanchas-com-10-acido-mandelico-3-acido-tranexamico.jpg
beyoung,Stick Bastão multifuncional com cor FPS 80,"Hidratação, Alta Proteção e Cobertura em Bastão",protetor solar,14g,94.90,"hidratação, limpeza, controle da oleosidade, uniformiza o tom, antioxidante, proteção solar, crescimento de cílios/sobrancelhas, disfarce óptico imediato","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, sílica, sodium hyaluronate, vitamina c, vitamina e","oleosa, seca, mista, normal, sensivel, madura, com manchas, com cicatrizes, com olheiras, radiante",stick-bastao-multifuncional-com-cor-fps-80.jpg
beyoung,Stick Bastão multifuncional com cor FPS 80,"Hidratação, Alta Proteção e Cobertura em Bastão",protetor solar,14g,94.90,"hidratação, limpeza, controle da oleosidade, uniformiza o tom, antioxidante, proteção solar, crescimento de cílios/sobrancelhas, disfarce óptico imediato","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, retinol, sílica, sodium hyaluronate, vitamina c, vitamina e","oleosa, seca, mista, normal, sensivel, madura, com manchas, com cicatrizes, com olheiras, radiante",stick-bastao-multifuncional-com-cor-fps-80-1.jpg
beyoung,Stick Bastão multifuncional incolor FPS 80,Hidratação e Alta Proteção em Bastão,protetor solar,14g,94.90,"hidratação, limpeza, controle da oleosidade, uniformiza o tom, antioxidante, proteção solar, compatível com maquiagem","ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, cafeína, esqualano, lha, niacinamida, pantenol, phenoxyethanol, resistente à água e suor, retinol, sílica, vitamina c, vitamina e","oleosa, seca, normal, sensivel, madura, com manchas, radiante, todos os tipos",stick-bastao-multifuncional-incolor-fps-80.jpg
beyoung,Sérum facial antioxidante 18% nano vitamina C + 3% esqualano,Vita C 18,sérum,30ml,83.20,"hidratação, limpeza, controle da oleosidade, antiacne, antissinais, uniformiza o tom, antioxidante, luminosidade, proteção solar, compatível com maquiagem","ácido cítrico, ácido ferúlico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, astaxantina, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, propanodiol, propilenoglicol, resveratrol, retinol, vitamina c, vitamina e","oleosa, seca, normal, acneica, sensivel, madura, com manchas, radiante, todos os tipos",serum-facial-antioxidante-18-nano-vitamina-c-3-esqualano.jpg
beyoung,Sérum facial antioxidante 18% nano vitamina C + 3% esqualano,Vita C 18,sérum,30ml,83.20,"hidratação, limpeza, controle da oleosidade, antiacne, antissinais, uniformiza o tom, antioxidante, luminosidade, proteção solar, compatível com maquiagem","ácido cítrico, ácido ferúlico, ácido glicólico, ácido hialurônico, ácido salicílico, ácido tranexâmico, água de maçã, alpha arbutin, alpha glucan, astaxantina, cafeína, esqualano, fenoxietanol, lha, niacinamida, pantenol, propanodiol, propilenoglicol, resveratrol, retinol, vitamina c, vitamina e","oleosa, seca, normal, acneica, sensivel, madura, com manchas, radiante, todos os tipos",serum-facial-antioxidante-18-nano-vitamina-c-3-esqualano-1.jpg
